Level,Name,Value,Description
   3,"RCC_SECCFGR3",0x00000000,"RCC system secure configuration register3"
   3,"RCC_PRIVCFGR3",0x00000000,"RCC system privilege configuration register3"
   3,"RCC_LOCKCFGR3",0x00000000,"RCC system lock configuration register3"
   3,"RCC_PUBCFGR3",0x00000000,"RCC system public configuration register3"
   3,"RCC_SECCFGR4",0x00000000,"RCC bus secure configuration register4"
   3,"RCC_PRIVCFGR4",0x00000000,"RCC bus privilege configuration register4"
   3,"RCC_LOCKCFGR4",0x00000000,"RCC bus lock configuration register4"
   3,"RCC_PUBCFGR4",0x00000000,"RCC bus public configuration register4"
   3,"RCC_PUBCFGR5",0x00000000,"RCC bus public configuration register4"
   3,"RCC_CSR",0x00000000,"RCC control set register"
   3,"RCC_STOPCSR",0x00000000,"RCC Stop configuration register"
   3,"RCC_BUSRSTSR",0x00000000,"RCC bus reset set register"
   3,"RCC_MISCRSTSR",0x00000000,"RCC miscellaneous reset register"
   3,"RCC_MEMRSTSR",0x00000000,"RCC memory reset register"
   3,"RCC_AHB1RSTSR",0x00000000,"RCC AHB1 reset register"
   3,"RCC_AHB2RSTSR",0x00000000,"RCC AHB2 reset register"
   3,"RCC_AHB3RSTSR",0x00000000,"RCC AHB3 reset register"
   3,"RCC_AHB4RSTSR",0x00000000,"RCC AHB4 reset register"
   3,"RCC_AHB5RSTSR",0x00000000,"RCC AHB5 reset register"
   3,"RCC_APB1LRSTSR",0x00000000,"RCC APB1L reset register"
   3,"RCC_APB1HRSTSR",0x00000000,"RCC APB1H reset register"
   3,"RCC_APB2RSTSR",0x00000000,"RCC APB2 reset register"
   3,"RCC_APB4LRSTSR",0x00000000,"RCC APB4L reset register"
   3,"RCC_APB4HRSTSR",0x00000000,"RCC APB4H reset register"
   3,"RCC_APB5RSTSR",0x00000000,"RCC APB5 reset register"
   3,"RCC_DIVENSR",0x00000000,"RCC Divider enable register"
   3,"RCC_BUSENSR",0x00000000,"RCC bus enable register"
   3,"RCC_MISCENSR",0x00000000,"RCC miscellaneous enable register"
   3,"RCC_MEMENSR",0x00000000,"RCC memory enable register"
   3,"RCC_AHB1ENSR",0x00000000,"RCC AHB1 enable register"
   3,"RCC_AHB2ENSR",0x00000000,"RCC AHB2 enable register"
   3,"RCC_AHB3ENSR",0x00000000,"RCC AHB3 enable register"
   3,"RCC_AHB4ENSR",0x00000000,"RCC AHB4 enable register"
   3,"RCC_AHB5ENSR",0x00000000,"RCC AHB5 enable register"
   3,"RCC_APB1LENSR",0x00000000,"RCC APB1L enable register"
   3,"RCC_APB1HENSR",0x00000000,"RCC APB1H enable register"
   3,"RCC_APB2ENSR",0x00000000,"RCC APB2 enable register"
   3,"RCC_APB3ENSR",0x00000000,"RCC APB3 enable register"
   3,"RCC_APB4LENSR",0x00000000,"RCC APB4L enable register"
   3,"RCC_APB4HENSR",0x00000000,"RCC APB4H enable register"
   3,"RCC_APB5ENSR",0x00000000,"RCC APB5 enable register"
   3,"RCC_DIVLPENSR",0x00000000,"RCC divider Sleep enable register"
   3,"RCC_BUSLPENSR",0x00000000,"RCC bus Sleep enable register"
   3,"RCC_MISCLPENSR",0x00000000,"RCC miscellaneous Sleep enable register"
   3,"RCC_MEMLPENSR",0x00000000,"RCC memory sleep enable register"
   3,"RCC_AHB1LPENSR",0x00000000,"RCC AHB1 Sleep enable register"
   3,"RCC_AHB2LPENSR",0x00000000,"RCC AHB2 Sleep enable register"
   3,"RCC_AHB3LPENSR",0x00000000,"RCC AHB3 Sleep enable register"
   3,"RCC_AHB4LPENSR",0x00000000,"RCC AHB4 Sleep enable register"
   3,"RCC_AHB5LPENSR",0x00000000,"RCC AHB5 Sleep enable register"
   3,"RCC_APB1LLPENSR",0x00000000,"RCC APB1L Sleep enable register"
   3,"RCC_APB1HLPENSR",0x00000000,"RCC APB1H Sleep enable register"
   3,"RCC_APB2LPENSR",0x00000000,"RCC APB2 Sleep enable register"
   3,"RCC_APB3LPENSR",0x00000000,"RCC APB3 Sleep enable register"
   3,"RCC_APB4LLPENSR",0x00000000,"RCC APB4L Sleep enable register"
   3,"RCC_APB4HLPENSR",0x00000000,"RCC APB4H Sleep enable register"
   3,"RCC_APB5LPENSR",0x00000000,"RCC APB5 Sleep enable register"
   3,"RCC_PRIVCFGSR0",0x00000000,"RCC oscillator privilege configuration register0"
   3,"RCC_PUBCFGSR0",0x00000000,"RCC oscillator public configuration register0"
   3,"RCC_PRIVCFGSR1",0x00000000,"RCC PLL privilege configuration register1"
   3,"RCC_PUBCFGSR1",0x00000000,"RCC PLL public configuration register1"
   3,"RCC_PRIVCFGSR2",0x00000000,"RCC divider privilege configuration register2"
   3,"RCC_PUBCFGSR2",0x00000000,"RCC divider public configuration register2"
   3,"RCC_SECCFGSR3",0x00000000,"RCC system secure configuration register3"
   3,"RCC_PRIVCFGSR3",0x00000000,"RCC system privilege configuration register3"
   3,"RCC_LOCKCFGSR3",0x00000000,"RCC system lock configuration register3"
   3,"RCC_PUBCFGSR3",0x00000000,"RCC system public configuration register3"
   3,"RCC_PRIVCFGSR4",0x00000000,"RCC privilege configuration register4"
   3,"RCC_PUBCFGSR4",0x00000000,"RCC public configuration register4"
   3,"RCC_PUBCFGSR5",0x00000000,"RCC public configuration register4"
   3,"RCC_CCR",0x00000000,"RCC control Clear register"
   3,"RCC_STOPCCR",0x00000000,"RCC StopCCR configuration register"
   3,"RCC_BUSRSTCR",0x00000000,"RCC bus reset register"
   3,"RCC_MISCRSTCR",0x00000000,"RCC miscellaneous reset register"
   3,"RCC_MEMRSTCR",0x00000000,"RCC memory reset register"
   3,"RCC_AHB1RSTCR",0x00000000,"RCC AHB1 reset register"
   3,"RCC_AHB2RSTCR",0x00000000,"RCC AHB2 Reset register"
   3,"RCC_AHB3RSTCR",0x00000000,"RCC AHB3 reset register"
   3,"RCC_AHB4RSTCR",0x00000000,"RCC AHB4 reset register"
   3,"RCC_AHB5RSTCR",0x00000000,"RCC AHB5 reset register"
   3,"RCC_APB1LRSTCR",0x00000000,"RCC APB1L reset register"
   3,"RCC_APB1HRSTCR",0x00000000,"RCC APB1H reset register"
   3,"RCC_APB2RSTCR",0x00000000,"RCC APB2 reset register"
   3,"RCC_APB4LRSTCR",0x00000000,"RCC APB4L reset register"
   3,"RCC_APB4HRSTCR",0x00000000,"RCC APB4H reset register"
   3,"RCC_APB5RSTCR",0x00000000,"RCC APB5 reset register"
   3,"RCC_DIVENCR",0x00000000,"RCC divider enable register"
   3,"RCC_BUSENCR",0x00000000,"RCC bus enable register"
   3,"RCC_MISCENCR",0x00000000,"RCC miscellaneous enable register"
   3,"RCC_MEMENCR",0x00000000,"RCC memory enable register"
   3,"RCC_AHB1ENCR",0x00000000,"RCC AHB1 enable register"
   3,"RCC_AHB2ENCR",0x00000000,"RCC AHB2 enable register"
   3,"RCC_AHB3ENCR",0x00000000,"RCC AHB3 enable register"
   3,"RCC_AHB4ENCR",0x00000000,"RCC AHB4 enable register"
   3,"RCC_AHB5ENCR",0x00000000,"RCC AHB5 enable register"
   3,"RCC_APB1LENCR",0x00000000,"RCC APB1L enable register"
   3,"RCC_APB1HENCR",0x00000000,"RCC APB1H enable register"
   3,"RCC_APB2ENCR",0x00000000,"RCC APB2 enable register"
   3,"RCC_APB3ENCR",0x00000000,"RCC APB3 enable register"
   3,"RCC_APB4LENCR",0x00000000,"RCC APB4L enable register"
   3,"RCC_APB4HENCR",0x00000000,"RCC APB4H enable register"
   3,"RCC_APB5ENCR",0x00000000,"RCC APB5 enable register"
   3,"RCC_DIVLPENCR",0x00000000,"RCC divider Sleep enable register"
   3,"RCC_BUSLPENCR",0x00000000,"RCC bus Sleep enable register"
   3,"RCC_MISCLPENCR",0x00000000,"RCC miscellaneous Sleep enable register"
   3,"RCC_MEMLPENCR",0x00000000,"RCC memory Sleep enable register"
   3,"RCC_AHB1LPENCR",0x00000000,"RCC AHB1 Sleep enable register"
   3,"RCC_AHB2LPENCR",0x00000000,"RCC AHB2 Sleep enable register"
   3,"RCC_AHB3LPENCR",0x00000000,"RCC AHB3 Sleep enable register"
   3,"RCC_AHB4LPENCR",0x00000000,"RCC AHB4 Sleep enable register"
   3,"RCC_AHB5LPENCR",0x00000000,"RCC AHB5 Sleep enable register"
   3,"RCC_APB1LLPENCR",0x00000000,"RCC APB1L Sleep enable register"
   3,"RCC_APB1HLPENCR",0x00000000,"RCC APB1H Sleep enable register"
   3,"RCC_APB2LPENCR",0x00000000,"RCC APB2 Sleep enable register"
   3,"RCC_APB3LPENCR",0x00000000,"RCC APB3 Sleep enable register"
   3,"RCC_APB4LLPENCR",0x00000000,"RCC APB4L Sleep enable register"
   3,"RCC_APB4HLPENCR",0x00000000,"RCC APB4H Sleep enable register"
   3,"RCC_APB5LPENCR",0x00000000,"RCC APB5 Sleep enable register"
   3,"RCC_PRIVCFGCR0",0x00000000,"RCC oscillator privilege configuration register0"
   3,"RCC_PUBCFGCR0",0x00000000,"RCC oscillator public configuration register0"
   3,"RCC_PRIVCFGCR1",0x00000000,"RCC PLL privilege configuration register1"
   3,"RCC_PUBCFGCR1",0x00000000,"RCC PLL public configuration register1"
   3,"RCC_PRIVCFGCR2",0x00000000,"RCC divider privilege configuration register2"
   3,"RCC_PUBCFGCR2",0x00000000,"RCC divider public configuration register2"
   3,"RCC_PRIVCFGCR3",0x00000000,"RCC system privilege configuration register3"
   3,"RCC_PUBCFGCR3",0x00000000,"RCC system public configuration register3"
   3,"RCC_PRIVCFGCR4",0x00000000,"RCC privilege configuration register4"
   3,"RCC_PUBCFGCR4",0x00000000,"RCC public configuration register4"
   3,"RCC_PUBCFGCR5",0x00000000,"RCC public configuration register4"
  2,"RCC_S","250 Registers","Reset and clock control"
 1,"RIF","48 Registers",
 1,"RIFSC","76 Registers",
 1,"RISAF","370 Registers",
 1,"RNG","10 Registers",
 1,"RTC","50 Registers",
 1,"SAES","54 Registers",
 1,"SAI","76 Registers",
 1,"SDMMC","156 Registers",
 1,"SPDIFRX","18 Registers",
 1,"SPI","168 Registers",
 1,"SYSCFG","64 Registers",
 1,"TAMP","100 Registers",
 1,"TIM","316 Registers",
 1,"TIMx","168 Registers",
 1,"UCPD","28 Registers",
 1,"USART","280 Registers",
 1,"VENC","710 Registers",
 1,"VREFBUF","4 Registers",
 1,"WWDG","6 Registers",
 1,"XSPI","186 Registers",
 1,"XSPIM","2 Registers",
 1,"GPIOB","32 Registers","General-purpose I/Os"
 1,"GPIOB_S","32 Registers","General-purpose I/Os"
 1,"GPIOC","32 Registers","General-purpose I/Os"
 1,"GPIOC_S","32 Registers","General-purpose I/Os"
 1,"GPIOD","32 Registers","General-purpose I/Os"
 1,"GPIOD_S","32 Registers","General-purpose I/Os"
 1,"GPIOE","32 Registers","General-purpose I/Os"
 1,"GPIOE_S","32 Registers","General-purpose I/Os"
 1,"GPIOF","32 Registers","General-purpose I/Os"
 1,"GPIOF_S","32 Registers","General-purpose I/Os"
 1,"GPIOG","32 Registers","General-purpose I/Os"
 1,"GPIOG_S","32 Registers","General-purpose I/Os"
 1,"GPIOH","32 Registers","General-purpose I/Os"
 1,"GPIOH_S","32 Registers","General-purpose I/Os"
 1,"GPION","32 Registers","General-purpose I/Os"
 1,"GPION_S","32 Registers","General-purpose I/Os"
 1,"GPIOO","32 Registers","General-purpose I/Os"
 1,"GPIOO_S","32 Registers","General-purpose I/Os"
 1,"GPIOP","32 Registers","General-purpose I/Os"
 1,"GPIOP_S","32 Registers","General-purpose I/Os"
 1,"GPIOQ","32 Registers","General-purpose I/Os"
 1,"GPIOQ_S","32 Registers","General-purpose I/Os"
 1,"TIM10","12 Registers","General-purpose timers"
 1,"TIM10_S","12 Registers","General-purpose timers"
 1,"TIM11","12 Registers","General-purpose timers"
 1,"TIM11_S","12 Registers","General-purpose timers"
 1,"TIM12","15 Registers","General-purpose timers"
 1,"TIM12_S","15 Registers","General-purpose timers"
 1,"TIM13","12 Registers","General-purpose timers"
 1,"TIM13_S","12 Registers","General-purpose timers"
 1,"TIM14","12 Registers","General-purpose timers"
 1,"TIM14_S","12 Registers","General-purpose timers"
 1,"TIM9","15 Registers","General-purpose timers"
 1,"TIM9_S","15 Registers","General-purpose timers"
